lattice_type,L,T_min,T_max,T_step
square,64,2.2200,2.2600,0.0005
square,96,2.2275,2.2700,0.0005
square,128,2.2350,2.2800,0.0005
square,192,2.2400,2.2800,0.0005
square,256,2.2450,2.2750,0.0005
square,384,2.2500,2.2750,0.0005
square,512,2.2550,2.2750,0.0005
square,768,2.2600,2.2750,0.0005
square,1024,2.2625,2.2725,0.0005
square,1536,2.2650,2.2725,0.0005
square,2048,2.2660,2.2720,0.0005
square,3072,2.2670,2.2710,0.0005
triangular,64,3.6800,3.7200,0.0005
triangular,96,3.6650,3.6900,0.0005
triangular,128,3.6550,3.6800,0.0005
triangular,192,3.6500,3.6700,0.0005
triangular,256,3.6400,3.6800,0.0005
triangular,384,3.6400,3.6700,0.0005
triangular,512,3.6400,3.6600,0.0005
triangular,768,3.6400,3.6600,0.0005
triangular,1024,3.6400,3.6550,0.0005
triangular,1536,3.6350,3.6500,0.0005
triangular,2048,3.6350,3.6500,0.0005
triangular,3072,3.6350,3.6500,0.0005
